INFO   10:10:01 : Id:315180514755; 频点:492079900Hz; 功率:15.50dbm; 时钟周期:999999.8330us; 发送电流:58.46mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:10:14 : Id:315180514609; 频点:492080032Hz; 功率:16.30dbm; 时钟周期:1000000.6660us; 发送电流:60.92mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:10:24 : Id:315180514661; 频点:492080050Hz; 功率:15.70dbm; 时钟周期:1000001.7660us; 发送电流:59.08mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:10:36 : Id:315180514637; 频点:492080028Hz; 功率:15.90dbm; 时钟周期:1000001.0000us; 发送电流:59.00mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:10:58 : Id:315180514698; 频点:492080020Hz; 功率:16.00dbm; 时钟周期:1000001.4000us; 发送电流:58.90mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:11:20 : Id:315180514643; 频点:492079909Hz; 功率:15.80dbm; 时钟周期:1000001.8330us; 发送电流:59.02mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:11:30 : Id:315180514673; 频点:492080007Hz; 功率:16.50dbm; 时钟周期:1000000.9660us; 发送电流:61.64mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:11:40 : Id:315180514574; 频点:492080026Hz; 功率:15.73dbm; 时钟周期:1000000.1660us; 发送电流:59.09mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:11:51 : Id:315180514765; 频点:492080024Hz; 功率:16.60dbm; 时钟周期:1000000.9330us; 发送电流:61.72mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:12:01 : Id:315180514480; 频点:492079946Hz; 功率:-12.30dbm; 时钟周期:1000000.9330us; 发送电流:45.34mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   10:12:19 : Id:315180514480; 频点:492079949Hz; 功率:-12.10dbm; 时钟周期:1000000.9660us; 发送电流:45.68mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   10:12:34 : Id:315180514707; 频点:492079980Hz; 功率:16.10dbm; 时钟周期:1000001.1000us; 发送电流:59.93mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:13:09 : Id:315180514658; 频点:492080005Hz; 功率:15.70dbm; 时钟周期:1000001.0000us; 发送电流:58.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:13:25 : Id:315180514680; 频点:492079926Hz; 功率:16.30dbm; 时钟周期:1000002.3000us; 发送电流:61.28mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:13:44 : Id:315180514617; 频点:492079968Hz; 功率:16.20dbm; 时钟周期:1000002.0330us; 发送电流:60.10mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:13:55 : Id:315180514443; 频点:492079991Hz; 功率:16.20dbm; 时钟周期:1000001.5000us; 发送电流:60.72mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:14:08 : Id:315180514674; 频点:492079953Hz; 功率:14.87dbm; 时钟周期:1000001.1660us; 发送电流:55.96mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:14:24 : Id:315180514598; 频点:492079855Hz; 功率:15.87dbm; 时钟周期:1000000.9660us; 发送电流:60.24mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:14:33 : Id:315180514611; 频点:492079946Hz; 功率:16.30dbm; 时钟周期:1000000.7660us; 发送电流:60.71mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:14:50 : Id:315180514649; 频点:492080006Hz; 功率:16.10dbm; 时钟周期:1000000.8660us; 发送电流:60.19mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:15:00 : Id:315180514552; 频点:492079993Hz; 功率:16.30dbm; 时钟周期:1000000.9660us; 发送电流:60.61mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:15:12 : Id:315180514760; 频点:492079911Hz; 功率:16.40dbm; 时钟周期:1000000.7000us; 发送电流:60.18mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:15:22 : Id:315180514659; 频点:492080050Hz; 功率:15.80dbm; 时钟周期:1000001.2330us; 发送电流:58.22mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:15:33 : Id:315180514664; 频点:492080037Hz; 功率:16.30dbm; 时钟周期:1000001.6000us; 发送电流:60.85mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
